b,beta0,gamma,delta,mean_alpha_s1,mean_alpha_s0
2.12132,1,1.41421,0.01,2.29907,2.3615
2.12132,1,1,0.1,2.19232,2.0019
2.12132,3.16228,0.5,0.01,0,1.81147
2.12132,1,1.41421,0.0316228,2.46317,2.41487
2.12132,3.16228,0.5,0.0316228,0,1.80424
2.12132,1,1.41421,0.1,2.58001,2.4184
2.12132,3.16228,0.707107,0.01,0,1.8212
2.12132,1,2,0.01,2.66347,2.7629
2.12132,3.16228,0.707107,0.0316228,0,1.80979
2.12132,3.16228,0.5,1,0,1.80011
2.12132,1,2,0.0316228,2.79276,2.7813
2.12132,3.16228,1,0.01,0,1.98333
2.12132,3.16228,1,0.0316228,0,1.99726
2.12132,1,2,0.1,2.79776,2.79093
2.12132,3.16228,0.707107,1,0,1.80038
2.12132,3.16228,0.5,0.1,2.14933,1.80138
2.12132,3.16228,1.41421,0.0316228,0,2.41348
2.12132,3.16228,1,1,0,1.99972
2.12132,3.16228,1.41421,1,0,0
2.12132,3.16228,0.5,0.316228,2.40023,1.80043
2.12132,3.16228,0.707107,0.1,2.34758,1.80398
2.12132,3.16228,1.41421,0.01,2.38771,2.31512
2.12132,3.16228,2,1,0,0
2.12132,10,0.5,0.01,0,0
2.12132,10,0.5,0.0316228,0,0
2.12132,3.16228,1,0.1,2.53751,2.00143
2.12132,3.16228,0.707107,0.316228,2.53656,1.80132
2.12132,3.16228,1,0.316228,2.73795,1.99996
2.12132,10,0.707107,0.01,0,0
2.12132,10,0.707107,0.0316228,0,0
2.12132,3.16228,1.41421,0.1,2.78896,2.41501
2.12132,3.16228,2,0.01,2.72872,2.76712
2.12132,10,0.5,0.1,0,2.09026
2.12132,10,1,0.01,0,0
2.12132,10,1,0.0316228,0,0
2.12132,10,0.5,1,0,1.80011
2.12132,3.16228,2,0.0316228,2.79437,2.78157
2.12132,3.16228,1.41421,0.316228,2.79741,2.4132
2.12132,10,1.41421,0.01,0,0
2.12132,10,1.41421,0.0316228,0,0
2.12132,10,0.707107,0.1,0,2.162
2.12132,3.16228,2,0.1,2.79861,2.79176
2.12132,3.16228,2,0.316228,2.7996,2.79697
2.12132,10,1,0.1,0,2.26363
2.12132,10,1.41421,0.1,0,2.41633
2.12132,10,1,1,0,2.00095
2.12132,10,2,0.01,0,2.76735
2.12132,10,1.41421,1,0,2.40704
2.12132,10,2,0.0316228,0,2.78055
2.12132,10,2,0.1,0,2.7915
3,0.1,0.5,0.1,0,0
2.12132,10,0.5,0.316228,2.79625,1.9525
3,0.1,0.5,0.01,1.81172,1.81175
3,0.1,0.5,0.0316228,1.80487,1.80446
3,0.1,0.5,0.316228,0,0
3,0.1,0.5,1,0,0
2.12132,10,2,1,0,2.79905
3,0.1,0.707107,0.1,0,0
2.12132,10,0.707107,1,2.19583,1.80037
3,0.1,0.707107,0.316228,0,0
3,0.1,0.707107,1,0,0
2.12132,10,0.707107,0.316228,2.79943,2.00518
3,0.1,0.707107,0.01,1.8213,1.8228
3,0.1,0.707107,0.0316228,1.81366,1.8105
2.12132,10,1,0.316228,2.79895,2.0578
3,0.1,1,0.1,0,0
3,0.1,1,0.316228,0,0
2.12132,10,1.41421,0.316228,2.79963,2.41258
